SPOT_LABEL	CH1_NBC_INT	CH1_SPOT_AREA	CH1_SPOT_BKGD	CH2_NBC_INT	CH2_SPOT_AREA	CH2_SPOT_BKGD
15522	0.526	8500	0.119	1.799	8500	1.419
15523	1.939	9800	0.091	2.724	9800	1.447
15524	2.198	10300	0.091	3.188	10300	1.46
15525	0.32	9500	0.096	1.738	9500	1.442
15526	0.466	10000	0.105	1.868	10000	1.457
15527	8.656	10200	0.116	7.861	10200	1.497
15528	0.218	10400	0.096	1.77	10400	1.472
15529	0.161	9400	0.1	1.716	9400	1.43
15530	0.119	8000	0.129	1.561	8000	1.469
15531	0.442	9900	0.129	1.815	9900	1.433
15532	1.897	9400	0.131	2.927	9400	1.382
15533	0.628	10700	0.145	1.949	10700	1.428
15534	0.671	9300	0.117	1.986	9300	1.481
15535	1.553	10100	0.09	2.721	10100	1.467
15536	0.407	9000	0.094	1.791	9000	1.4
15537	0.208	8400	0.129	1.558	8400	1.432
15538	0.131	7700	0.124	1.567	7700	1.497
15539	0.143	7300	0.113	1.572	7300	1.505
15540	3.392	8800	0.117	4.463	8800	1.477
15541	0.155	8600	0.118	1.568	8600	1.466
15542	0.306	6700	0.113	1.683	6700	1.524
15543	0.132	6500	0.109	1.545	6500	1.547
15544	0.139	8000	0.106	1.598	8000	1.508
15545	0.661	2300	0.099	4.018	2300	1.467
15546	0.213	8800	0.098	1.606	8800	1.397
15547	0.366	9600	0.088	1.783	9600	1.395
15548	5.362	9100	0.091	5.515	9100	1.406
15549	0.203	9500	0.107	1.644	9500	1.477
15550	0.288	8800	0.111	10.183	8800	1.508
15551	0.234	8700	0.111	1.713	8700	1.48
15552	0.12	7100	0.087	1.574	7100	1.481
15553	0.184	8700	0.094	1.736	8700	1.531
15554	0.116	9500	0.102	1.667	9500	1.522
15555	0.14	9000	0.098	1.637	9000	1.493
15556	0.153	10500	0.1	1.69	10500	1.502
15557	0.14	9900	0.099	1.681	9900	1.506
15558	0.118	9400	0.096	1.722	9400	1.553
15559	0.243	10000	0.108	1.947	10000	1.565
15560	3.781	10200	0.103	4.379	10200	1.573
15561	0.411	10200	0.094	1.834	10200	1.547
15562	1.095	10100	0.105	2.516	10100	1.522
15563	0.394	9900	0.104	1.758	9900	1.457
15564	0.56	9400	0.101	2.04	9400	1.447
15565	0.199	9500	0.097	1.644	9500	1.414
15566	0.935	10200	0.088	2.28	10200	1.46
15567	0.145	8600	0.085	1.553	8600	1.481
15568	1.15	9800	0.098	2.447	9800	1.423
15569	0.964	10100	0.121	2.341	10100	1.415
15570	0.414	10500	0.127	1.951	10500	1.478
15571	0.328	7000	0.131	1.679	7000	1.447
15572	0.106	8000	0.12	1.488	8000	1.439
15573	0.126	8000	0.096	1.488	8000	1.489
15574	6.229	9200	0.102	5.806	9200	1.518
15575	0.209	7700	0.104	1.621	7700	1.479
15576	0.149	10500	0.089	1.494	10500	1.458
15577	0.501	7600	0.107	1.722	7600	1.434
15578	0.128	9000	0.107	1.533	9000	1.422
15579	0.69	7200	0.122	1.915	7200	1.431
15580	0.126	8000	0.099	1.504	8000	1.431
15581	0.142	8100	0.093	1.471	8100	1.404
15582	0.142	7400	0.145	1.577	7400	1.389
15583	0.115	9600	0.094	1.49	9600	1.438
15584	0.113	8000	0.079	1.416	8000	1.497
15585	0.208	7600	0.084	1.557	7600	1.461
15586	3.257	9100	0.095	4.045	9100	1.461
15587	0.993	9400	0.124	2.238	9400	1.445
15588	0.81	9300	0.124	2.017	9300	1.477
15589	0.152	7100	0.112	1.553	7100	1.532
15590	0.149	8600	0.119	1.606	8600	1.504
15591	0.111	8000	0.123	1.543	8000	1.533
15592	0.141	9800	0.12	1.571	9800	1.518
15593	0.165	9500	0.125	1.605	9500	1.452
15594	0.132	9600	0.118	1.589	9600	1.436
15595	0.134	10200	0.107	1.59	10200	1.405
15596	1	7600	0.091	2.114	7600	1.403
15597	0.178	9200	0.102	1.597	9200	1.446
15598	0.129	7100	0.113	1.516	7100	1.505
15599	0.127	8000	0.111	1.575	8000	1.502
15600	0.598	8700	0.1	1.968	8700	1.496
15601	1.228	9400	0.114	2.475	9400	1.502
15602	0.262	8300	0.094	1.711	8300	1.527
15603	0.306	7400	0.098	1.754	7400	1.53
15604	0.245	8400	0.103	1.652	8400	1.532
15605	0.107	8000	0.113	1.576	8000	1.542
15606	0.147	9600	0.106	1.616	9600	1.488
15607	0.746	8000	0.101	2.14	8000	1.577
15608	0.926	7900	0.09	2.184	7900	1.577
