SPOT_LABEL	CLONE_ID	SOURCE_CLONE_ID	ORIGIN
316	218287	CATMA3a48750	MAF
317	218310	CATMA3a48680	MAF
318	218334	CATMA3a48710	MAF
319	218311	CATMA3a48770	MAF
320	218335	CATMA3a48800	MAF
321	219168	CATMA1a16020	MADRID
322	219192	CATMA1a16040	MADRID
323	219349	CATMA1a24420	MAF
324	219385	CATMA1a24460	MAF
325	219216	CATMA1a16060	MADRID
326	219325	CATMA1a24400	MAF
327	219314	CATMA1a24490	MAF
328	219338	CATMA1a24520	MAF
329	219735	CATMA1a48300	UTRECHT
330	219759	CATMA1a48320	UTRECHT
331	219736	CATMA1a48380	UTRECHT
332	219772	CATMA1a48445	UTRECHT
333	219783	CATMA1a48340	UTRECHT
334	219712	CATMA1a48360	UTRECHT
335	219701	CATMA1a48460	UTRECHT
336	219725	CATMA1a48491	UTRECHT
337	218779	CATMA4ctrl24	FR(INRA)
338	218803	CATMA4a40100	FR(INRA)
339	218780	CATMA4a40150	FR(INRA)
340	218816	CATMA4a40180	FR(INRA)
341	218827	CATMA4a40120	FR(INRA)
342	218756	CATMA4a40135	FR(INRA)
343	218757	CATMA4a40200	FR(INRA)
344	218781	CATMA4a40230	FR(INRA)
345	219059	CATMA1a11250	LAUSANNE
346	219083	CATMA1a11270	LAUSANNE
347	219060	CATMA1a11340	LAUSANNE
348	219108	CATMA1a11395	LAUSANNE
349	219107	CATMA1a11290	LAUSANNE
350	219036	CATMA1a11320	LAUSANNE
351	219217	CATMA1a19410	FR(INRA)
352	219241	CATMA1a19440	FR(INRA)
353	219918	CATMA1a58800	MADRID
354	219942	CATMA1a58820	MADRID
355	219919	CATMA1a58905	MADRID
356	219943	CATMA1a58920	MADRID
357	219966	CATMA1a58840	MADRID
358	219895	CATMA1a58860	MADRID
359	219967	CATMA1a58960	MADRID
360	219896	CATMA1a59010	MADRID
361	220195	CATMA5a00260	UK(HRI)
362	220231	CATMA5a00280	UK(HRI)
363	220220	CATMA5a00360	UK(HRI)
364	220244	CATMA5a00400	UK(HRI)
365	220255	CATMA5a00300	UK(HRI)
366	220196	CATMA5a00340	UK(HRI)
367	220268	CATMA5a00430	UK(HRI)
368	220197	CATMA5a00450	UK(HRI)
369	250001	cYIR01	APB
370	250002	cYIR02	APB
371	250003	cYIR03	APB
372	250004	cYIR04	APB
373	250005	cYIR05	APB
374	250006	cYIR06	APB
375	250007	cYIR07	APB
376	250008	cYIR08	APB
377	250009	cYIR09	APB
378	250010	cYIR10	APB
379	250019	uYIR1	APB
380	250020	uYIR2	APB
381	250011	rYIR1	APB
382	250012	rYIR2	APB
383	250013	rYIR3	APB
384	250014	rYIR4	APB
385	219649	CATMA1a43080	UK(HRI)
